"","Click","variable","value","Click","variable","value"
"189",89,"Mid",0.00183349939645921,89,"Mid",0.000887993835350194
"190",90,"Mid",0.0155318863181952,90,"Mid",0.000886445936752359
"191",91,"Mid",0.00958965580608593,91,"Mid",0.000885817218520879
"192",92,"Mid",0.00193753530657453,92,"Mid",0.000885549372420638
"193",93,"Mid",0.00956200915095752,93,"Mid",0.000885432303384444
"194",94,"Mid",0.00166756065755527,94,"Mid",0.0437256983350591
"195",95,"Mid",0.0154786242226884,95,"Mid",0.00210745029454275
"196",96,"Mid",0.0127728775294989,96,"Mid",0.0556936615460381
"197",97,"Mid",0.0615431217079013,97,"Mid",0.0533934101542875
"198",98,"Mid",0.0108866436815112,98,"Mid",0.00267005206517462
"199",99,"Mid",0.0146939794645109,99,"Mid",0.0438264501882175
"200",100,"Mid",0.0163577317426637,100,"Mid",0.0537903974371298
"201",1,"Late",0.0164442413861959,1,"Late",0.00668854767169058
"202",2,"Late",0.0363559745991148,2,"Late",0.0333401289651818
"203",3,"Late",0.0523844516546594,3,"Late",0.0651955528277671
"204",4,"Late",0.0501756578475443,4,"Late",0.0591597858048422
"205",5,"Late",0.0458972571758607,5,"Late",0.0554928463015004
"206",6,"Late",0.0601992063503208,6,"Late",0.0676654440117983
"207",7,"Late",0.0579534000872813,7,"Late",0.0647651720226129
"208",8,"Late",0.0508062784914195,8,"Late",0.0462753965224365
"209",9,"Late",0.0569148851621899,9,"Late",0.0508508103680668
"210",10,"Late",0.0394426734256923,10,"Late",0.0456682506801015
"211",11,"Late",0.0404395114249329,11,"Late",0.0296626448190067
"212",12,"Late",0.0513664083144798,12,"Late",0.037191532675632
"213",13,"Late",0.0699377796017019,13,"Late",0.0354492819617481
"214",14,"Late",0.0572128438659624,14,"Late",0.0368302365667706
"215",15,"Late",0.0762494605391125,15,"Late",0.0459925514581899
"216",16,"Late",0.0858718820655406,16,"Late",0.0448398776517654
"217",17,"Late",0.0553697787008214,17,"Late",0.0645149431971544
"218",18,"Late",0.0686396857276001,18,"Late",0.0521021487682496
"219",19,"Late",0.0721563818000163,19,"Late",0.0474556370082002
"220",20,"Late",0.0518364665019253,20,"Late",0.0627211576568555
"221",21,"Late",0.0636531518301559,21,"Late",0.0535158088577195
"222",22,"Late",0.0585962037842278,22,"Late",0.0454468436785349
"223",23,"Late",0.0670094484512781,23,"Late",0.0851557337419794
"224",24,"Late",0.0393757150160813,24,"Late",0.0743250416694802
"225",25,"Late",0.038255083765925,25,"Late",0.0525955317021258
"226",26,"Late",0.0705975093359199,26,"Late",0.0115628972284794
"227",27,"Late",0.0544824076135532,27,"Late",0.111355560697244
"228",28,"Late",0.0818128641823043,28,"Late",0.00582246202763396
"229",29,"Late",0.137047659898836,29,"Late",0.0386898649117748
"230",30,"Late",0.102179951011802,30,"Late",0.00875750180621558
"231",31,"Late",0.0934647580512974,31,"Late",0.0791924187833068
"232",32,"Late",0.0896324593711177,32,"Late",0.157816852930762
"233",33,"Late",0.0718830912541578,33,"Late",0.0985401333365154
"234",34,"Late",0.147933021984799,34,"Late",0.133389793784551
"235",35,"Late",0.0086396634552849,35,"Late",0.101361816136942
"236",36,"Late",0.0642924980642298,36,"Late",0.109209688352077
"237",37,"Late",0.122415087789432,37,"Late",0.0109158234774079
"238",38,"Late",0.0170801195964552,38,"Late",0.109537607321998
"239",39,"Late",0.0150961301943491,39,"Late",0.0130029757833209
"240",40,"Late",0.0177840185603578,40,"Late",0.0661229769835093
"241",41,"Late",0.0166599484353176,41,"Late",0.067139098799837
"242",42,"Late",0.0188899727490407,42,"Late",0.00978935194740389
"243",43,"Late",0.0239557030634242,43,"Late",0.0784497914979862
"244",44,"Late",0.019133935175471,44,"Late",0.00958006622736933
"245",45,"Late",0.0145394302122778,45,"Late",0.0769099196512069
"246",46,"Late",0.0184812247259211,46,"Late",0.0796612470149403
"247",47,"Late",0.0254530657235184,47,"Late",0.0850230459920476
"248",48,"Late",0.0183497689250651,48,"Late",0.00318376320907946
"249",49,"Late",0.0178457129641106,49,"Late",0.165915293830985
"250",50,"Late",0.0197204517780224,50,"Late",0.165344078319431
"251",51,"Late",0.0298046843914949,51,"Late",0.0885586325221834
"252",52,"Late",0.0379382482077089,52,"Late",0.0960804721762165
"253",53,"Late",0.127320562477197,53,"Late",0.104192536641422
"254",54,"Late",0.0242343132303281,54,"Late",0.113391696244823
"255",55,"Late",0.020626754585333,55,"Late",0.007330401998066
"256",56,"Late",0.0246059454957591,56,"Late",0.123627880951825
"257",57,"Late",0.154402763974941,57,"Late",0.0103742967336239
"258",58,"Late",0.0724826036107087,58,"Late",0.0159349852485498
"259",59,"Late",0.148529275754718,59,"Late",0.0161836187669589
"260",60,"Late",0.142523180268368,60,"Late",0.0106306889788734
"261",61,"Late",0.00625092233042398,61,"Late",0.00141934102434761
"262",62,"Late",0.00883118571490212,62,"Late",0.157384372807148
"263",63,"Late",0.136912890384194,63,"Late",0.165104008702047
"264",64,"Late",0.00858975188525219,64,"Late",0.165937604272596
"265",65,"Late",0.00955808349677667,65,"Late",0.0366639152069233
"266",66,"Late",0.0110609164072046,66,"Late",0.169518893621871
"267",67,"Late",0.012824067779498,67,"Late",0.0118291769606957
"268",68,"Late",0.0110176774166478,68,"Late",0.0128749617245332
"269",69,"Late",0.00077555596516758,69,"Late",0.192977908539262
"270",70,"Late",0.0185127588588437,70,"Late",0.0471637831809765
"271",71,"Late",0.0115602892825969,71,"Late",0.191542075849485
"272",72,"Late",0.0282526193812204,72,"Late",0.0611121639451402
"273",73,"Late",0.00497256704549029,73,"Late",0.00917816263121625
"274",74,"Late",0.0123375408207268,74,"Late",0.00409822514929006
"275",75,"Late",0.0022305541770404,75,"Late",0.00970350514441501
"276",76,"Late",0.00941250143995002,76,"Late",0.319861802371227
"277",77,"Late",0.00976582760318126,77,"Late",0.0130764738718674
"278",78,"Late",0.0100428973649245,78,"Late",0.0147918007518546
"279",79,"Late",0.0293821675996832,79,"Late",0.0209559168080027
"280",80,"Late",0.0102853029603178,80,"Late",0.0152713086621131
"281",81,"Late",0.0211286675099401,81,"Late",0.000456064423722315
"282",82,"Late",0.171052195006799,82,"Late",0.00607248065170107
"283",83,"Late",0.0871892885596957,83,"Late",0.472186821694648
"284",84,"Late",0.214456585288609,84,"Late",0.500954502190261
"285",85,"Late",0.0207193681405954,85,"Late",0.00250120675865798
"286",86,"Late",0.0190009500861742,86,"Late",0.000344441726420615
"287",87,"Late",0.00135377410603986,87,"Late",0.000440226446040983
"288",88,"Late",0.0164088509528739,88,"Late",0.000438855357092194
"289",89,"Late",0.00107046073308113,89,"Late",0.000438621577123632
"290",90,"Late",0.0202929702647101,90,"Late",0.000438557323018297
