survey_time_spent,survey_user_id,bonus_unclear,bonus_unclear_open,bcq_bonus_received,web_satisf,att_check,att_check_6_TEXT,web_recommend,lk_buy_cellphone,employment_status,employment_status_7_TEXT,gender,Mobile
102,gxmZFoPw1I43qVXycuIQ3JWhqDB.jqMW,2,,2,6,6,Yes,5,5,7,Mother and home maker,2,0
88,B~.O1fF7SE4FgHgire~JlRobOgr9pWZf,2,,2,6,6,Yes,5,1,1,,2,1
171,f7khQkUADBxV46OjHQBAe1EAlgbX~A_a,1,They were brief and uninformative,2,2,6,Yes,1,5,7,,2,1
158,8gZMA-JBbVIAPYrGSjrSOlcKq479L_1V,2,,2,7,6,Yes,5,6,1,,1,1
92,uI8VotAJ6QbWIb_tweDTRw-ylySD-3jZ,2,,2,7,6,Yes,6,2,1,,2,1
88,PZY3oiS-MXnAptRN2a1REkNx8oh3RMNA,2,,2,2,6,Yes,1,6,1,,1,0
81,fggEkEBkXqW2XO8QL6A-iT2LteLAak.Q,2,,2,7,6,yes,7,6,1,,2,0
133,HHqxvtnQcx.rwCd4lyUIJvEW4L~CrhY9,2,,2,6,6,Yes,6,5,1,,2,1
90,m7rJD3Mi36VLLjyXl~Ne7tN5oztVt~HT,2,,2,6,6,yes,5,7,1,,2,0
80,B7XyZxpBjCi9VPhkl-GJvW0kn-g8BhO~,2,,2,6,6,yes,5,4,4,,2,0
113,xjtYP.iIIkIdc94.EuNjaVMQmYfnqAB5,2,,2,6,6,YES,6,6,1,,1,1
102,7yu3jnLkuNqPTj.b3BE_o6mlMT3Xwhol,2,,2,3,6,Yes ,4,3,1,,2,1
72,PkcVh5QNAbKvvvPinSBZbOivJjjubSS~,2,,2,5,6,Yes,4,1,3,,2,0
76,VOPOxKM-yC7Q6jJzO8nAVH3Y9WSHSiyJ,2,,2,6,6,Yes,4,1,1,,1,1
106,PS7M1xX_E_Yd-Hew-GIzRUkRBks0hVck,2,,2,5,6,Yes,3,1,3,,2,0
86,0NYjr1YmEw8MN9DdWlsq-fqoEgNRTu~h,2,,2,7,6,Yes,7,5,1,,2,0
92,~Nv.H8.aoEMLhClB8q~HTJrJdqTBY7Gu,2,,2,4,6,yes,4,4,1,,1,0
69,QVhX~TWfXGxKbO5saSKK~jzsaFEwyzQZ,2,,2,2,6,Yes,1,5,1,,2,0
109,gvLZbh32pVoePn9Kj5lXbX3Rx3N5e986,2,,2,6,6,Yes,6,5,1,,2,0
150,aZw32whcZ6BsV7cdnM5wIPcpu8zRhd_b,2,,2,3,6,Yes,2,3,1,,2,0
166,_nHR2DrpS7evREC6ZAyVxyUAtfA-..gY,2,,2,7,6,Yes,6,6,1,,2,1
135,Ahc13YZOAvdN~PgnJV3kECunywNPGp3T,2,,2,6,6,Yes,4,2,4,,1,0
107,CbqD_n6wC9~8P4B7Cc2~Ze9SaAx6mrzQ,2,,2,6,6,Yes,6,5,1,,2,0
129,HGdCR1kKa-D3L901AspMcqwX9kNGj-Su,2,,2,6,6,Yes,5,2,7,Stay at home parent ,2,1
70,Mxc1-tnKeM4MmwZ3JhKlKBdY~y2xj7sE,2,,2,7,6,Yes,5,5,1,,2,0
87,7iDSiGXfMjBoTv_lM8MXKt.A.80nNIuK,2,,2,5,6,Yes,6,6,3,,1,0
94,5rkX6dwjtuPGJL643C4Kyq6OcQ2-6l3.,2,,2,6,6,Yes,5,6,1,,2,1
245,PY.kds7XVjvV_TO6aJAnQfQdLmVTzaMU,2,,2,6,6,Yes,4,4,3,,2,0
145,baZYVZf-YLmJHjZl9EpOaeYVCpK7U7rY,2,,3,5,6,Yes,4,2,1,,2,1
125,KL-dWQmZo9~scv5mfgZiAAziduzEgDAr,2,,2,5,6,Yes,2,1,1,,2,1
69,ICRZM9w4ZK4nJjYODs~jakz8Mf0FQ6OY,2,,2,6,6,yes,6,7,1,,1,0
93,GPRbejPy1FYuwVW6~mkZ5gaLaMU-42Jo,2,,2,6,6,Yes,6,5,3,,2,0
147,BPF3HR2O8ZfNIuNg3PmA-VUSG0a5ydfQ,2,,2,3,6,Yes,2,4,1,,2,0
151,Q9HARbWAbRqSs_gREwrfSZUAHOc9CDXg,2,,2,5,6,Yes,4,6,1,,2,1
111,O8G1Oge06SYuxEs4-Cp7eIz5i.9_.ECW,2,,2,6,6,Yes,5,2,2,,2,0
66,_rNDmuxMQqLiYm0S6N4~xnKz3ba3dnjF,2,,2,6,6,Yes,6,5,1,,2,0
189,d.NFVfargwv6_6QoqoI975iZxu0e1TSE,1,I must have misread as I assumed that the bonus would be £450 + phone if you win,2,5,6,Yes,5,6,1,,2,1
85,CknGiNWfYtKR.auz_A0AnbPsPwnFy.d6,2,,2,5,6,Yes,5,3,4,,2,0
83,Fh38WmacdtfACH7.zyznSv4u-ju3.AUE,2,,2,6,6,Yes,6,5,1,,1,0
150,vBQKyz3C7V~gD.y4oMijh1kuI_60pRm3,2,,2,5,6,Yes,4,3,7,Housewife,2,1
