No,U_m2
3154,d18192efe28d90e838332d6cdcf4cead
1926,7f242cc47ccc60cdf9c1d37a1d48f2f4
3780,fb0ed7ed6730acde00cbdf1b1a619d83
1913,7df54b91dc15deaa385a14ad986b5bfa
2952,c3c87c7157c5c458cf3e737d55277559
2450,a08e79289b6794ac7ad385854239e865
2951,c3a0221bc94048b462a2f8dd0ea09f7a
230,0e378da5ac4850c736e6b2f34e622a24
678,2d1143339accc3ab9a688c6540cdb773
3328,dd064521232cb7b972fff1d23891e5e9
1904,7d668516d96015388e5bffad362df5fe
474,1f5c2e60afef8c8be4321db34e34610a
1685,6f09d01931067780fb101f6d626ab371
2852,bd334d6e4f42dbf5c22b9fa3442da9a1
2419,9efbc582a6f802586634b34deb08aa07
1981,8354db9c8762c624cf36b4cff2164c6c
1729,724c345ebd9c7445faee09185fda1b59
1259,522e82bd67170bf41ffaea493b13bb95
2622,ac6203d2909c0b3bf13e22a90aac0ceb
3624,eeebbd09dc34f67c4416e563daa3b8e9
1075,460a560117eabb7077703aa33397dd26
2938,c2dccd21ba97bc2b3e2679458a234e71
1070,4585bf2e6dda22f4233c60f014eb4b0c
3460,e4891e2f34f57f12085475fda2236ff8
3312,db9ae25de7f0f5b93b5a0da112cc3884
2184,90093647886e265990245833e201af5a
3176,d345fafeb20ce1618a7ee948854d72a2
2912,c16c8ebaf61e3c87fabf4f64c9da0e8e
3049,c9a9bee659ca9648107461cd5f34f531
3389,e0d1b26a9ba982e447ff20d7b8d7f3c2
2017,85b123c9cb7e7a211a906fb28dfdcdd3
677,2d0db19572db052557ba905a20996b47
2266,956a3754b4967f9d7ff63e9ade1c5e72
2731,b419ac6139f3b7dc05776c4ec509b663
510,21da9220776c4bdb9670507116d52c92
2932,c25fed7aee2059cfb0d8661ee3ec9166
996,400f19c1398c4dffe54d6c22b6004743
67,04890e9c9092c2c3753564c1daab10b5
31,02745f619680282bad2de4450bc945ab
1333,56d1e455ee2a11d30d2f57fac94ee204
663,2c092de1f8f799810c3f438ac6ff8f7a
315,1428746518c6a1b37a2fec84683df069
2634,ad64591e33d99fecdd030309a7cbf7a7
2783,b86e4296a21abafdda8f6762090935a7
2077,893e3f8b92a783412d84b2a5a0d16b95
1537,6417543e9f321f59a8c3fa3d5bc01cf9
675,2ce9f7a29064f913edbd98da4de34025
3544,e90312c7df1bbad5e0b09904d6d1ed7f
1242,50c4105320926b23c026714ffcb05cc5
2943,c32015077552535e9f83251ba8b91aac
601,280ad1a8ea8a2e93660385a1641dbaa7
1529,63d1929f562b52045d860efc1519064c
2905,c0c6ab4c00f38a3b5b7b88e2dcd39404
1331,56b8e7fcd429650dfd90e6075894701a
2302,97f4491969886d5f34e1c0f4af8e31e6
2438,9fe2076b56e24238db2b7b4df224dca9
3824,fe34e4d1f63e7de50a28d05923cf2d1a
958,3dfcd7c9368f6b074794cb2950e38a33
1234,50727b54da22564d9acc5fed37bb2c07
1604,693595b551f8ff1d1ba1f568c9967b43
1917,7e5b5786acfa264bedbb489bb59607d7
620,297544d98bb567c01b068ab1e5276715
1253,51a24d5cc79f22df984bf6a98a00d884
2295,9736b9e3c11fc0b8853f581f8a16238c
1397,5b2f970a73ced9e6634958b2708fd5f4
2386,9ccc009c359eed11e5cb6f33f532b3f5
2048,87b19cb0c3aca25634f14084125c2f82
1893,7c947a96b64c32b38990809299bfe913
1805,77041f2f4c2363e24833e3fb290d02ea
1824,77ecfb980d3678bf89ba004f2185c564
1887,7c168eeb32789adf56c5724e229e6c4b
1898,7d144fefa384de12adc15405f96a46d3
1276,52e0ddc1122382979e4c824ecd654b97
3068,cbaddef907e3ca66e1cc3151f298d27e
2018,85b3bd6e32e5f6e43adf938f70821b56
3184,d38f577766294e0899130471cfa953b4
1712,707ee3b6e8d4e28b87718953fa5c8a91
847,37ef628ad9551af984f481a05cc7d3a4
1422,5cded35e3a115f30dcf41f8373b00ac6
725,2f9e784f0a146804b22a17755a53a7b1
2550,a7d9f031fe00b520df8e7921abc2aee1
887,3a49880bb00ce7c02b48cfbfa0d9d8b1
1690,6f394b5e74a805be593dda34ef7162e0
2645,adbec6b6ddaf70cdbb03fa12ad1180bc
3001,c6cd87e6755140245127d20ae58e80b6
2270,95e8d906b759ab82d9a9e54382306e1d
2687,b0a021000cfa2b9ac5f94affefcee31e
3338,ddf0d2dd51b8745e1bef0d115afb6e8e
90,05a25b4a4ee611e5ef252fb35429169f
2581,a9a55004add054976a6b4c95fc56e9da
2924,c1d8d6396823877084d27839c8767bd6
657,2ba81f2958654e836486fdc8e777bfe9
143,09274f0b8df7c16d00dd679f16c59b10
973,3ea705f4155974668e9c3ae1386c64e9
1455,5f1032a45a17e2f6644d4bcc569f1690
3128,d0030a1a636cda52f41f1fbb1b36d125
1616,6a1128e4b3a2f488c556feaad6464dae
2546,a7a33a570323c3e8f229397ade90cc1e
183,0b8b38619928bdbc893f65551470d44d
2965,c480b4059ed84f040236931f57900296
2672,afd7b8607feec37465d5e2c9b7c46a07
1947,8078a389a440aec3f19b5d9b462c6a0a
3491,e652f65cfd873c3c447b575667763495
3851,ff8e6d389e77503f1d613bd8a3bc9ff1
2044,8744069718e801371b8412b69c0f3bc8
3579,ebc73dd5ffa7281a3ada2d4219f8f624
1126,4874f690fc1896735b556c3a6f4a36f4
2205,919033a0ebddfd935408cc846dd34f08
1344,577ed32f21e2fb0090854e381ecc1a7c
2118,8b6f9eba359f57eb503bf7bfa4f01e6b
874,398d857faffe51990433cc2648cade50
3818,fd7f60bd75fa26cbcea2581123494f35
2772,b7b7fece5fc36a980dc52a9b0d5f1497
1159,4b4899bddd0452aacf79dfc7f4db6b80
1373,596af0b5be68ef3d288190861889413c
760,31f3102a046471ab199348a061dfee8b
2727,b3d857b31c094b515623deb22e79721a
2406,9e3f2cdb283ed75d81cfd773d7fbc722
1704,7000f67438a910d091aa90f9db243927
2591,aa4c8c514102465d3b08f54d70a21410
3651,f0782228c1c576e90ce20f86693daab8
2916,c19f96e79630d01bdda76df7b2430461
712,2f4b72d5fd9705069ac3b8c431194ff1
1120,48056f19ab9e37c8d9a21a0bce2faf27
404,1a40c8b559e356b79e4f9eb600da8c42
726,2fa1c657ca8d41c13bb9820555c981ea
3569,eb19bed74ba081ecd581b18a1fd767ad
140,08c2b0b07e84302434d78668865362e2
746,3131918b1b4f8db6651f797a39c52753
3313,dbf0d72df0889e049a66bdafee072f83
1460,5f3d2b9a7ab2d6acb6e1cfeeed3db174
864,38f5d0954c7a6620f635c65f3af94b22
3743,f7f7203c96df9a1706f562c27cadc7ce
2538,a70f511179285f72225d0c7307fbba60
735,30659d406eb10910abe5ce36580a1096
3750,f88b85db53cecf50a77aecd4b42e7380
1506,625cd5dc3c1e8dfb135e5882506f0539
62,0425f2ed0e60ddd21ef81cea9cb276e4
948,3d4e4084addf8da28b66b31611f1d2c0
2567,a8df95865b0f0bcd2ae0ff25fc8e8b10
3224,d5bb2cecac2b23d9609fe03669183662
3401,e192e53e5eafec7e158f13eea0f579ac
3696,f32feffa936103bd1e3f72c1f7f24d58
1315,555bd47249925c7c3fbd6a98e10118ff
938,3cd38276355b8274d92189e43f13a1a8
1192,4d90cc5021a7f70095d750929445711e
1068,45402c871888030eeb2bced946ec72ce
2830,bbb73aa6c6f3ca21d9c21d6459ba8b04
1414,5c469dbec2376c5d1ef6fa439419eaa6
381,183b02f21945666628c00e50314a5f4a
2793,b9373e73b7c49440031e6c54d2590d20
1683,6ee4ef32ab3af7a669ce6d5023cede55
